model_name,split,feature,correlation
xgb_gpu_engineered,4,z2_z_us30y_us10y_spread__z_silver_return_7d__sub,-0.0832
xgb_gpu_engineered,4,z2_z_btc_trend_above_sma20__z_btc_drawdown_change_60d__mul,0.1473
xgb_gpu_engineered,4,z2_z_btc_bollinger_lower_distance_20d__z_btc_sp500_rolling_corr_30d__sub,-0.1134
extra_trees_engineered,1,z_oil_rolling_position_60d,0.0915
extra_trees_engineered,1,z_btc_body_to_range,-0.1802
extra_trees_engineered,1,z_us30y_level_z_120d,0.0548
extra_trees_engineered,1,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,0.0662
extra_trees_engineered,1,z_btc_close_location,-0.0855
extra_trees_engineered,1,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.0128
extra_trees_engineered,1,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,0.0676
extra_trees_engineered,1,z2_z_btc_rolling_position_7d__z_btc_rolling_position_60d__mul,-0.0214
extra_trees_engineered,1,z_gold_rolling_position_60d,-0.0844
extra_trees_engineered,1,z2_z_silver_return_7d__z_btc_nasdaq_rolling_corr_30d__add,-0.0176
extra_trees_engineered,2,z_oil_rolling_position_60d,-0.0769
extra_trees_engineered,2,z_btc_body_to_range,-0.0038
extra_trees_engineered,2,z_us30y_level_z_120d,0.0613
extra_trees_engineered,2,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,0.0055
extra_trees_engineered,2,z_btc_close_location,-0.0442
extra_trees_engineered,2,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,0.0269
extra_trees_engineered,2,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,-0.0987
extra_trees_engineered,2,z2_z_btc_rolling_position_7d__z_btc_rolling_position_60d__mul,0.0965
extra_trees_engineered,2,z_gold_rolling_position_60d,0.1353
extra_trees_engineered,2,z2_z_silver_return_7d__z_btc_nasdaq_rolling_corr_30d__add,0.1849
extra_trees_engineered,3,z_oil_rolling_position_60d,-0.0408
extra_trees_engineered,3,z_btc_body_to_range,0.0536
extra_trees_engineered,3,z_us30y_level_z_120d,-0.0421
extra_trees_engineered,3,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,-0.0687
extra_trees_engineered,3,z_btc_close_location,-0.0015
extra_trees_engineered,3,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,-0.1653
extra_trees_engineered,3,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,0.0046
extra_trees_engineered,3,z2_z_btc_rolling_position_7d__z_btc_rolling_position_60d__mul,0.0542
extra_trees_engineered,3,z_gold_rolling_position_60d,0.0666
extra_trees_engineered,3,z2_z_silver_return_7d__z_btc_nasdaq_rolling_corr_30d__add,-0.0602
extra_trees_engineered,4,z_oil_rolling_position_60d,-0.0001
extra_trees_engineered,4,z_btc_body_to_range,0.0437
extra_trees_engineered,4,z_us30y_level_z_120d,-0.0983
extra_trees_engineered,4,z2_z_btc_rolling_position_60d__z_btc_rsi_7__div,-0.0344
extra_trees_engineered,4,z_btc_close_location,-0.0425
extra_trees_engineered,4,z2_z_btc_bollinger_width_change_20d__z_silver_return_1d__div,-0.1364
extra_trees_engineered,4,z2_z_btc_bollinger_width_20d__z_gold_return_7d__sub,-0.058
extra_trees_engineered,4,z2_z_btc_rolling_position_7d__z_btc_rolling_position_60d__mul,0.0645
extra_trees_engineered,4,z_gold_rolling_position_60d,-0.0249
extra_trees_engineered,4,z2_z_silver_return_7d__z_btc_nasdaq_rolling_corr_30d__add,0.1064
